Array Length    Seconds per Insert  
-----------------------------------
1000            0.000003            
2000            0.000029            
3000            0.000013            
4000            0.000015            
5000            0.000018            
6000            0.000020            
7000            0.000022            
8000            0.000025            
9000            0.000026            
10000           0.000026            
11000           0.000031            
12000           0.000035            
13000           0.000039            
14000           0.000044            
15000           0.000055            
16000           0.000051            
17000           0.000055            
18000           0.000050            
19000           0.000060            
20000           0.000065            
21000           0.000059            
22000           0.000086            
23000           0.000093            
24000           0.000096            
25000           0.000131            
26000           0.000109            
27000           0.000102            
28000           0.000099            
29000           0.000114            
30000           0.000097            
31000           0.000095            
32000           0.000120            
33000           0.000116            
34000           0.000107            
35000           0.000106            
36000           0.000114            
37000           0.000112            
38000           0.000111            
39000           0.000125            
40000           0.000116            
41000           0.000115            
42000           0.000122            
43000           0.000122            
44000           0.000114            
45000           0.000124            
46000           0.000125            
47000           0.000138            
48000           0.000138            
49000           0.000135            
50000           0.000143            
51000           0.000138            
52000           0.000136            
53000           0.000158            
54000           0.000167            
55000           0.000160            
56000           0.000163            
57000           0.000156            
58000           0.000167            
59000           0.000154            
60000           0.000156            
